case,threads,memory,rows,expected_trials,successful_trials,failed_trials,complete_checksum_agreement,stock_trials,stock_ms,stock_rss_mib,stock_max_rss_mib,stock_buffer_mib,stock_max_buffer_mib,stock_temp_mib,stock_max_temp_mib,budget_trials,budget_ms,budget_rss_mib,budget_max_rss_mib,budget_buffer_mib,budget_max_buffer_mib,budget_temp_mib,budget_max_temp_mib,paged_trials,paged_ms,paged_rss_mib,paged_max_rss_mib,paged_buffer_mib,paged_max_buffer_mib,paged_temp_mib,paged_max_temp_mib,stock_over_paged,budget_over_paged
lowcard:payload,4,2GB,2000000,15,15,0,True,5,25.634249999711756,115.578125,118.515625,52.5234375,52.7734375,0.0,0.0,5,34.65587499886169,192.828125,216.1875,93.12109375,97.12109375,0.0,0.0,5,29.22875000149361,168.71875,181.609375,68.12890625,69.73828125,0.0,0.0,0.8770217678963975,1.1856776289472095
uniform:key,1,2GB,2000000,15,15,0,True,5,81.25274999838439,71.84375,72.421875,25.19140625,25.19140625,0.0,0.0,5,38.85587499826215,102.5625,103.53125,25.19140625,25.19140625,0.0,0.0,5,33.54866599693196,87.140625,87.5625,25.19140625,25.19140625,0.0,0.0,2.4219368366484377,1.1581943377961896
uniform:key,4,2GB,2000000,15,15,0,True,5,33.0679170001531,82.890625,83.09375,28.296875,28.8125,0.0,0.0,5,22.9867079979158,133.59375,148.03125,54.017578125,57.251953125,0.0,0.0,5,21.237041997665074,103.296875,108.734375,36.27734375,37.22265625,0.0,0.0,1.557086763956524,1.0823874624556045
uniform:payload,1,2GB,2000000,15,15,0,True,5,103.20316700017429,100.046875,101.75,51.9296875,51.9296875,0.0,0.0,5,61.61183299991535,161.3125,166.34375,51.9296875,51.9296875,0.0,0.0,5,62.62854200031143,130.375,130.625,51.9296875,51.9296875,0.0,0.0,1.6478615612616545,0.9837660439166694
uniform:payload,4,2GB,2000000,15,15,0,True,5,40.392625000094995,121.375,124.921875,59.0390625,59.046875,0.0,0.0,5,38.96479199829628,224.078125,249.609375,103.39453125,106.89453125,0.0,0.0,5,35.097249998216284,160.203125,171.84375,73.88671875,74.40234375,0.0,0.0,1.1508772055402583,1.1101950152868543
uniform:wide,1,2GB,2000000,15,15,0,True,5,148.97849999761092,123.296875,125.0,75.6875,75.6875,0.0,0.0,5,153.22354100135271,124.53125,125.0,75.6875,75.6875,0.0,0.0,5,152.69383300255868,123.203125,125.34375,75.6875,75.6875,0.0,0.0,0.9756680873622087,1.0034690857409099
uniform:wide,4,2GB,2000000,15,15,0,True,5,53.073582999786595,149.75,158.375,85.796875,85.796875,0.0,0.0,5,56.54679200233659,150.453125,159.078125,85.796875,85.796875,0.0,0.0,5,54.099749999295454,148.15625,157.28125,85.796875,85.8125,0.0,0.0,0.9810319456278037,1.0452320390218623
zeros:key,1,2GB,2000000,15,15,0,True,5,53.71125000237953,67.390625,67.671875,20.19140625,20.19140625,0.0,0.0,5,26.834333999431692,82.609375,83.34375,20.19140625,20.19140625,0.0,0.0,5,24.337916998774745,67.484375,68.0,20.19140625,20.19140625,0.0,0.0,2.206895931360253,1.1025731577925353
zeros:key,4,2GB,2000000,15,15,0,True,5,21.254457999020815,75.359375,76.296875,23.8125,23.828125,0.0,0.0,5,14.676582999527454,99.78125,108.921875,48.515625,52.236328125,0.0,0.0,5,13.290458999108523,75.734375,75.9375,31.26953125,32.87890625,0.0,0.0,1.599226783698478,1.1042946673634002
zeros:payload,1,2GB,2000000,15,15,0,True,5,62.542167001083726,94.953125,95.171875,46.4296875,46.4296875,0.0,0.0,5,37.72899999967194,125.59375,137.15625,46.4296875,46.4296875,0.0,0.0,5,35.10850000020582,94.09375,96.765625,46.4296875,46.4296875,0.0,0.0,1.7813967273086881,1.07464004441804
zeros:payload,4,2GB,2000000,15,15,0,True,5,30.580083002860192,109.984375,117.234375,53.0390625,53.296875,0.0,0.0,5,19.79787500022212,151.84375,161.828125,96.859375,104.84765625,0.0,0.0,5,19.621583000116516,110.71875,122.296875,68.88671875,70.51171875,0.0,0.0,1.5584921462594838,1.0089845962022819
