case,threads,memory,rows,expected_trials,successful_trials,failed_trials,complete_checksum_agreement,stock_trials,stock_ms,stock_rss_mib,stock_max_rss_mib,stock_buffer_mib,stock_max_buffer_mib,stock_temp_mib,stock_max_temp_mib,budget_trials,budget_ms,budget_rss_mib,budget_max_rss_mib,budget_buffer_mib,budget_max_buffer_mib,budget_temp_mib,budget_max_temp_mib,paged_trials,paged_ms,paged_rss_mib,paged_max_rss_mib,paged_buffer_mib,paged_max_buffer_mib,paged_temp_mib,paged_max_temp_mib,stock_over_paged,budget_over_paged
uniform:payload,1,128MB,8000000,9,9,0,True,3,647.0906250033295,175.140625,175.59375,122.0078125,122.0078125,48.375,48.46875,3,647.4532089996501,175.015625,176.015625,122.0078125,122.0078125,47.875,47.96875,3,657.453790998261,175.015625,175.046875,122.0078125,122.0078125,48.625,49.46875,0.984237423014633,0.9847889203233184
uniform:payload,4,128MB,8000000,9,9,0,True,3,227.38266599844792,203.421875,209.46875,122.76953125,122.8203125,40.34375,42.3125,3,225.40099999969243,193.921875,206.265625,122.78125,122.8203125,41.03125,41.84375,3,228.86899999866728,200.734375,206.59375,122.8125,122.8125,40.0,41.65625,0.9935057434592365,0.9848472270207191
